"ilmestymispaiva","kuvan_url"
"01.03.1856","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0001.jpg"
"01.03.1856","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0002.jpg"
"01.01.1860","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0003.jpg"
"01.01.1860","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0004.jpg"
"01.01.1866","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0005.jpg"
"01.12.1866","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0006.jpg"
"01.01.1866","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0007.jpg"
"01.01.1866","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0008.jpg"
"01.01.1866","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0009.jpg"
"01.05.1867","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0010.jpg"
"01.07.1875","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0013.jpg"
"06.09.1875","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0014.jpg"
"04.09.1875","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0015.jpg"
"04.09.1875","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0016.jpg"
"06.09.1875","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0017.jpg"
"01.07.1875","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0018.jpg"
"15.01.1877","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0019.jpg"
"03.08.1881","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0020.jpg"
"13.05.1879","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0021.jpg"
"01.03.1883","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0022.jpg"
"01.01.1882","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0023.jpg"
"01.12.1882","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0024.jpg"
"01.01.1882","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0025.jpg"
"01.02.1882","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0026.jpg"
"01.01.1882","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0027.jpg"
"01.01.1885","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0028.jpg"
"01.05.1885","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0029.jpg"
"01.01.1885","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0030.jpg"
"01.01.1885","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0031.jpg"
"01.01.1885","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0032.jpg"
"13.11.1885","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0033.jpg"
"13.11.1885","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0034.jpg"
"09.01.1890","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0035.jpg"
"03.01.1890","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0036.jpg"
"03.01.1890","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0037.jpg"
"07.12.1889","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0038.jpg"
"16.10.1889","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0039.jpg"
"31.05.1890","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0040.jpg"
"05.06.1890","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0041.jpg"
"05.06.1890","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0042.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0043.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0044.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0045.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0046.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0047.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0048.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0049.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0050.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0051.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0052.jpg"
"01.05.1891","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0053.jpg"
